Gene name,Mutated samples,Samples tested
FBN1,65,809
SORCS1,64,809
DLG2_ENST00000418306,64,809
GRIN2A,64,1092
LPP_ENST00000617246,64,809
TANC2,64,807
CDH4_ENST00000611855,64,809
PARD3B_ENST00000351153,64,809
CDH13_ENST00000567109,64,807
GPHN_ENST00000315266,64,809
NLGN1,64,809
HECW1_ENST00000453890,64,834
NRG3,64,809
ERBB2,64,2023
DGKB_ENST00000407950,64,809
ZNF831,64,807
CDH13_ENST00000428848,64,807
ANK2_ENST00000394537,64,809
LPP,64,809
ADARB2,64,809
PARD3B_ENST00000349953,64,809
ITPR1_ENST00000544951,64,809
TTLL5,64,834
MYO9A,64,809
LPP_ENST00000618621,64,809
PARD3B_ENST00000358768,64,809
ITPR1_ENST00000354582,64,809
CDH13,64,807
SIPA1L2,64,809
ERBB3_ENST00000415288,64,1531
THADA_ENST00000405975,64,809
KALRN_ENST00000360013,64,809
HECW1,64,834
THADA,64,809
ITPR1,64,809
CNTN5_ENST00000527185,64,834
KSR2,64,809
LRRTM4,64,809
HDAC9,64,809
GPHN,64,809
DGKB_ENST00000402815,64,809
NCAM2,64,809
DNAH8_ENST00000359357,64,809
DLG2_ENST00000531015,64,809
HDAC9_ENST00000417496,64,809
CDH8_ENST00000584337,64,809
ITPR1_ENST00000357086,64,809
ITPR1_ENST00000456211,64,809
NRG3_ENST00000404547,64,809
SULF1_ENST00000458141,64,809
LRRTM4_ENST00000409884,64,809
SBF2,64,809
ANK2,64,809
SULF1,64,809
MCTP1,64,809
PARD3B,64,809
LRRTM4_ENST00000409093,64,809
FRMD4A,63,809
NIPBL_ENST00000448238,63,809
DGKB_ENST00000406247,63,809
MCTP1_ENST00000429576,63,809
TANC2_ENST00000389520,63,807
KCNMA1_ENST00000640969,63,809
MYO9A_ENST00000564571,63,809
BIRC6,63,809
KCNMA1_ENST00000640605,63,809
WDFY4,63,809
CTNNB1_ENST00000433400,63,2477
NEDD4L_ENST00000256830,63,809
TCF7L2,63,1081
NEDD4L_ENST00000589054,63,809
ARHGEF28_ENST00000296794,63,809
TCF7L2_ENST00000534894,63,1081
DGKB_ENST00000399322,63,809
KCNMA1,63,809
MYO10,63,807
NRG1_ENST00000519301,63,809
KCNMA1_ENST00000639090,63,809
DYNC2H1_ENST00000375735,63,809
KCNMA1_ENST00000638203,63,809
AGBL1_ENST00000441037,63,807
PDE11A,63,809
